قبل از تغییر دادن شیت کامنت این خونه رو بخونید.,,,رشته و مقطع,,,,,,نمرات,,,,,,,,,,,,,,ریکام,,,,دستیار آموزشی,اینترن‌شیپ (زمینه / دانشگاه - موسسه / و ترجیحا استاد),ریسرچ,,سایر موارد رزومه,تجربیات شخصی (خیلی خوبه اگر در این قسمت لینک بلاگ یا گوگل داک از تجربیاتتون بذارید.),ســـــــــــــــــــــــــفـــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــارت (این بخش در اصل برای آمریکاست ولی برای کشورهای دیگه هم با ذکر کشور پر کنید خوبه.),,,,,,,,,,,,,
,,,مقطع و سال ورود,رشته,رشته‌ی دوم,ماینور,گرایش (فقط ارشدها),فیلد اپلای,معدل,GRE,,,TOEFL,,,,,IELTS,,,,,۱,۲,۳,بیشتر!,,,استاد(ها) و زمینه(ها)‌ی ریسرچ,مقاله با ذکر زمینه و ترجیحا ژورنال (کنفرانس!),,,محل,تاریخ گرفتن وقت (پرداخت mrv fee),وقت اولیه,وقت بعد از Reschedule,خدمات شریف ویزا و امثالهم / هزینه,تاریخ اکسپت کردن آفر,تاریخ صدور I20,تاریخ درخواستی برای اکسپدایت,نتیجه اکسپدایت,هزینه سفر به سفارت,وضعیت ویزا,شرایط ویزا (سینگل / مولتی / ...),تاریخ صدور ویزا,سایر تجربیات مربوط به سفارت
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۴۱,کلیت رزومه,,کارشناسی ۹۶,مهندسی کامپیوتر,,,,"ML, Vision, IR","15.56

Last 2 Years : 17.92",4,168,150,24,29,28,28,109,,,,,,Rohban,Hosseini,Rabiee,"Seddighin , Arshadi , Baharifard",ML *2/ AI * 2 / Computer Networks / DS / DA / Numerical Computation / FP,Nah.,Dr. Rohban : Domain Generalization For Medical Imaging / Dr. Hosseini : User Representation,Nah.,Telegram : @sepehrashs,,,,,,,,,,,,,,,
,دانشگاه,,York,Queen's at Kingstone,Calgary,SFU,Alberta,Alberta,Stevens,USask,,,Carleton,,,,,Western,,,,,Stony Brook,UCF,UIC,UNLV,Waterloo,Padova,IIT,,,,,,,,,,,,,,,,,
,Degree,,M.Sc.,M.Sc.,M.Sc.,M.Sc.,M.Sc.,M.Sc.,Ph.D.,M.Sc.,,,M.Sc.,,,,,M.Sc.,,,,,Ph.D.,Ph.D.,Ph.D.,Ph.D.,M.Eng,M.Sc.,Ph.D.,,,,,,,,,,,,,,,,,
,Department,,EECS,ECE,CS,CS,CS,ECE,CS,CS,,,CS,,,,,CS,,,,,CS,CS,CS,CS,ECE,CS,CS,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,,,ML / Medical Imaging,,,"ML, NLP",,,,,,,,,,AI & CBG / Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,بدون مصاحبه,بدون مصاحبه,بعد از سابمیشن,بعد از سابمیشن,بدون مصاحبه,بعد از سابمیشن,بدون مصاحبه,قبل از سابمیشن,,,بدون مصاحبه,,,,,بعد از سابمیشن,,,,,بدون مصاحبه,بعد از سابمیشن,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,Applied,Applied,ACC-Withdraw,REJ,Applied,ACC-Withdraw,REJ,ACC-Withdraw,,,REJ,,,,,Final Decision,,,,,REJ,REJ,Applied,REJ,REJ,ACC-Withdraw,ACC-Withdraw,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,,,30 Mar,29 April,,15 April,3 May,1 Mar,,,8 Apr,,,,,4 Apr,,,,,6 Mar,16 April,,15 Feb,7 April,"ICT : 12 Feb
Data Science & CS: 17 Feb",29 Mar,,,,,,,,,,,,,,,,,
,فاند,,,,24k - 8.2k (Tuition) + 3K (Tuition Helper),,,18k - 8.5k(Tuition) - 2k(What Fee) - Tax :|,,23K - 8.1K(Tuition) - 1.1K (Student Fee) - Tax,,,,,,,,"4 Terms = 16 Months
45.925k - 30.34k(4 Terms Tuition)",,,,,,,,,Master of Eng. programs have no funds. They are course based and without supervisor.,5k/year,10k/year,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,Marcus Brubaker respond with a template mail and never answered after I applied.,Xiaodan Zhu encouraged me to apply and wasted my money because he never answered me after I applied.,"3 March : Prof recommended me to the committee

Offer Deadline : 23 Apr","Interviewed with Maxwell Libbrecht.
Not expected to get admitted here.",No email because UoA's website indicates that the decision will be made by the committee.,"2 March: Prof recommended me to the committee. The grad office sent me an email and asked about the up-to-date English transcript. I've released my official transcripts and asked Sharif's Registrar office to send them an up-to-date transcript. However, they did not accept that because it was not stamped.
30 March : I will try to get official translation for them as soon as possible.

Interviewed with Di Niu. He is a hard-ass prof. . Also, the fund is not good. You can apply for TA from the second term, it is not guarantee you get TA.","Fee Waived.

Jie Shen send me an email and asked me about my interests and never answered again.","Offer Deadline : 31 Mar

Interviewed with Prof. Vassileva, She is a very kind person.",,,Bullshit. No answers from professors.,,,,,"Offer Deadline : 25 April

Interviewed with Prof. Lucian Ilie.",,,,,"Fee Waived.
Rejected from CS but a Prof. from ECE emailed me and told me to review one of his papers. I was not interested anymore because I've got offers for Masters from Canada.","B.S.
Interviewed with Hayian Hu. Nothing Special.","High Fee!

Abolfazl Asudeh and some other profs encouraged me to apply.",Ina am Shakh Shodan :|,"No notification mail!
I saw it by chance.","I think all of us would be accepted here. It's the last bullet in the gun.
3 Programs with one Fee.
No Recommendation Letter","Just for backup.

I don't think it's a good option. Don't apply here.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۴۲,کلیت رزومه,,کارشناسی ۹۶,مهندسی برق,علوم کامپیوتر,,,ML (federated) + Vision,19.22,4,170,154,23,28,27,30,108,,,,,,مداح,صالح کلیبر,شاه منصوری,فتوت، کرباسی,2*DSP / Signals &Systems / Engineering Probability / 3*Logical Circuits / 3*Electric Cirtuits / Electronics Principals,شرکت کروز,مداح ML at Edge، صالح Causal & ML,,,,دوبی,Dec 6,Aug 4,Apr 27,تغییر وقت تضمینی شریف ویزا (4.5 میلیون),,,,,,,,,
,دانشگاه,,NYU,Stanford,USC,UCSD,Boston,Cornell,Harvard,UCSB,,,UCLA,,,,,Georgia Tech,,,,,UBC,,,,,,,,,,,,,,,,,,,,,,,
,Degree,,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,,,Ph.D.,,,,,Ph.D.,,,,,Ph.D.,,,,,,,,,,,,,,,,,,,,,,,
,Department,,ECE,EE,ECE,ECE,CS,ECE,EE,ECE,,,CS,,,,,ECE,,,,,ECE,,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,"ML, Vision","ML, Vision","Ml, Vision",Communication,"ML, Vision","ML, Vision","ML, Vision",Communication,,,"ML, Vision",,,,,"ML, Vision",,,,,"ML, Vision",,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,بعد از سابمیشن,بدون مصاحبه,بعد از سابمیشن,بعد از سابمیشن,بدون مصاحبه,بعد از سابمیشن,بدون مصاحبه,بدون مصاحبه,,,بدون مصاحبه,,,,,بدون مصاحبه,,,,,قبل از سابمیشن,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,Applied,REJ,Final Decision,ACC,REJ,REJ,REJ,ACC-Withdraw,,,REJ,,,,,Applied,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,,Feb 18,Feb 3,Feb 23,Mar 28,Apr 14,Feb 17,Feb 22,,,Apr 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,,,"$39,500 + tuition + health and dental insurance","$25,667 + $8,559 (summer) + health insurance",,,,"$26,957 for 9 months + tuition + health insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,"فی ویو شد!
من به Chinmay Hedge زدم گفت پرم ولی بقیه ممکنه بگیرن. بعدش به Yao Wang زدم ولی جواب نداد. بعد یکی دو ماه ایمیل اومد از خود دانشگاه که توش ویور بود. بعد چند روز هم استاد جواب ایمیلمو داد که خوشم اومده از رزومت و اپلای کردی خبرم کن. مصاحبم 11 ژانویه بود که البته 12 فوریه ایمیل زد گفت نمیگیرمت. اوایل فوریه Farrokhi باهام مصاحبه کرد با اینکه تو لیست استادام نبود.",,"فی ویو شد!
ایمیل زدم به grad school و یه سری اطلاعات خواستن (مشخص بود آشنان با ایران و مشخصا رتبه کنکور خواستن) و بعد چند روز که بررسی کردن یه ویور دادن. برای مصاحبه دکتر سلطان الکتابی بهم ایمیل زد با اینکه جزو استادایی که نوشته بودم نبود و 7 ژانویه مصاحبه کردیم. آفری که دادن فلوشیپ بود.",خود دانشگاه ایمیل زد برای 10 فوریه یه همایشی چیزی برگزار کردن و بعدش وقت پرسیدن برای مصاحبه و استادایی که میخوام مصاحبه کنم باهاشون.,من ایمیل زدم برا ویور ولی گفتن باید یه استادی باشه بهشون بگه تا ویو کنن که خب من کسی جواب ایمیلمو نداده بود:(,"فی ویو شد!
دیگه فک کنم همه امسال با اون رویداد STEM ویو کردن:). مصاحبم 3 فوریه بود.","فی ویو شد!
اسم شریف و مشخصات رو که زدم خود به خود ویو شد تو سامانشون.",با همسرم مصاحبه کرد استاد و جفتمونو گرفت.,,,بعد چند وقت ایمیل زدم به یکی از POI و خب تصمیمشو گرفته بود و رزومه منم این وسط ندیده بود کلا. بنظر امسال خیلی حال بررسی نداشتن:). حیف 140 دلار.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۴۳,کلیت رزومه,,کارشناسی ۹۶,مهندسی برق,علوم کامپیوتر,,,ML + Vision,18.18,,,,25,25,26,28,104,,,,,,مداح,شاه منصوری,فتوت,کرباسی,2*DSP / Signals &Systems / Engineering Probability / 3*Logical Circuits / 3*Electric Cirtuits / Technical English / Intro to EE,شرکت کروز,مداح ML at Edge، صالح Causal & ML,,"تعداد خوبی درس ارشد گذروندم (تقریبا تمام اختیاری های برقم ارشد بودن) که همشون درس های مرتبط با ML بودن!
استاد ریکام اولم که به همه دانشگاه ها دادم در حال حاضر دانشگاه استنفورد آمریکاس و قبلا هم چند تا از دانشگاه های آمریکا تدریس کرده که نمیدونم تاثیر مثبتی خواهد داشت یا نه!","Some information about Fee Waiver:
NYU: I emailed one of the professors and DID NOT talk about financial issues. I got a positive response from the professor and then received an email containing fee waiver from the engineering school.
USC: I emailed admission office, then viterbi school. After getting some documents, they sent an application fee waiver code to me!
Boston: To get a fee waiver a professor should request it for you from the committee.
Cornell: The university provided fee waiver for students who attended STEM Preview Day. It was an introduction program to Cornell departments.
Harvard: There is a fee waiver part in the application. After you enter your university and country, if you go to the waiver part and ask for the fee waiver, the application fee suddenly changes to zero!
UCSD & UCSB & Georgia Tech: Do not waste your time for fee waiver!
UCLA: I emailed the graduate admission office, and they told me UCLA is a public university, so they are poor and do not have enough money to waive the fee for international students :)",دوبی,Dec 6,Aug 4,Apr 27,تغییر وقت تضمینی شریف ویزا (4.5 میلیون),Apr 1,Apr 5,-,-,,Clearance,,,
,دانشگاه,,NYU,Stanford,USC,UCSD,Boston,Cornell,Harvard,UCSB,,,UCLA,,,,,Georgia Tech,,,,,UBC,,,,,,,,,,,,,,,,,,,,,,,
,Degree,,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,,,Ph.D.,,,,,Ph.D.,,,,,Ph.D.,,,,,,,,,,,,,,,,,,,,,,,
,Department,,ECE,EE,ECE,ECE,CS,ECE,EE,ECE,,,CS,,,,,ECE,,,,,ECE,,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,"ML, Vision","ML, Vision","ML, Vision",Communication,"ML, Vision","ML, Vision","ML, Vision","ML, Vision",,,"ML, Vision",,,,,"ML, Vision",,,,,"ML, Vision",,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,بعد از سابمیشن,بدون مصاحبه,بعد از سابمیشن,قبل از سابمیشن,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بعد از سابمیشن,,,بعد از سابمیشن,,,,,بدون مصاحبه,,,,,بدون مصاحبه,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,Applied,REJ,Final Decision,ACC,REJ,REJ,REJ,ACC-Withdraw,,,REJ,,,,,Applied,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,,Feb 18,Feb 3,Feb 23,Mar 23,Apr 14,Feb 17,Feb 22,,,Apr 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,,,"$38,000 + tuition + health and dental insurance","$25,677 + $8,559 (summer) + tuition + health insurance",,,,"$26,957 for 9 months + tuition + health insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,"Fee Waived!
Jan 10: I have emailed the professor. He scheduled an one-hour interview and asked academic questions about different courses in my CV. Then he gave me a paper to read and present. No connection after that!
Feb 9: One of the professors (not POI) emailed me. An one-hour academic interview with many questions!","Suggestion: If you have the same field of interest as me, DO NOT apply to EE Department. There are no vision professors there, and all of the ML projects are ML Theory ones. I understood this fact on the day of submission.","Fee Waived!
Fellowship
Jan 11 & 13: Two interviews with Maryam M. Shanechi and Salman Avestimehr, both names written in my SOP, about my research experience and shared interests.","No Waiver!
Fellowship
Before Submission: Tara Javidi told me to apply to Communication Program. Almost all of the professors in the Communicaton Section work on ML. It was an one-hour friendly talk in Persian.
Jan 27: an email from ECE department for UCSD ECE PhD Recruitment Event on Feb 10th!
Feb 15: a 10 min friendly talk with Tara Javidi.","Fucking Late!!!
Having a master's degree when applying for Ph.D. is significantly important for the department and professors!",Fee Waived!,"Fee Waived!
Almost all of the professors in the EE department in GSAS have ML projects both in theory and application. Unfortunately, the EE department is very small and they get few students each year.","No Waiver!
RA/TA
Jan 31: I have emailed Ramtin Pedarsani. A friendly interview in Persian about the university and admission process. He accepted both me and my husband!",,,"No Waiver!
Jan 27: a 20min interview with Majid Sarrafzadeh whom I have emailed before. It was about shared interests and my research experience in Persian!",,,,,No Waiver!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۴۴,کلیت رزومه,,ارشد ۹۸,مهندسی کامپیوتر,,اقتصاد,معماری کامپیوتر,Applied ML,19.56,,,,22,25,29,25,101,,,,,,,,,,زیاد,-,,1 accepted paper,,,,,,,,,,,,,,,,
,دانشگاه,,UCLA,ETH,U of T,MILA,EPFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Degree,,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Department,,CS,AI,CS,AI,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,Applied,Applied,Applied,Applied,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۴۵,کلیت رزومه,,,,,,,,,,,,,,,,,,,,,,,,Manzuri,,"AI, Signal, ML, DL",,,,,,,,,,,,,,,,,,,
,دانشگاه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۴۶,کلیت رزومه,,کارشناسی ۹۶,علوم کامپیوتر,,,,Theory,16.83,,,,25,28,30,27,110,,,,,,فروغمند,ابراهیمی,اینترنشیپ,,"DA, DS , OS , DA , Automata",algorithms and complexity,ابراهیمی اطلاعات/ وینسنت الگوریتم/ صدیقین گیم,2 in progress,,,,,,,,,,,,,,,,
,دانشگاه,,UBC,Waterloo,SFU,Waterloo,York,Aalto,UParis,ENS Lyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Degree,,M.Sc.,M.Math.,M.Sc.,M.Math.,M.Sc.,M.Sc.,M.Sc.,M.Sc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,CS,CS,,C&O,,,MPRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بعد از سابمیشن,بدون مصاحبه,بدون مصاحبه,بعد از سابمیشن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,REJ,REJ,REJ,REJ,Withdraw,WL-ACC-Withdraw,Final Decision,ACC-Withdraw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,Mar 25,April 6,April 29,Apr 25,,Apr 21,14 Mar,16 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,,,,,,0,1100 euro per month,1000 euro per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,,,,,بعد از اینکه مستر پاریس رو اکسپت کردم مصاحبه رفتم و گفته بودم نمیتونم بیام چون جای دیگه اکسپت کردم، گفتن برای دکترا مصاحبه کنیم بعد مسترت بیای و اپلیکیشن فی سال بعدو ویو کنیم (مسترم یک ساله ست),,"PGSM scholarship

MPRI is a joint program between ENS de Paris, Institut Polytechnique de Paris, and Université de Paris. Foreign students will be enrolled at the University of paris.",Ampere Scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۴۷,کلیت رزومه,,ارشد ۹۹,مهندسی کامپیوتر,,,هوش مصنوعی,"Deep, Vision, RL",18.7 Master - 17.47 BS,,,,24,26,26,27,103,,,,,,Rabiee,,,,OS Lab,,,,"Silver Medal in Olympiad, 1th rank Konkur",,,,,,,,,,,,,,,
,دانشگاه,,EPFL,Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Degree,,Ph.D.,Ph.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Department,,CE,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,EDIC,NLLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,,بدون مصاحبه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,REJ,REJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,GPA cutoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۴۸,کلیت رزومه,,ارشد ۹۸,مهندسی کامپیوتر,,,نرم‌افزار,"MSR, NLP",19.52,,,,26,29,30,28,113,,,,,,Abbas Heydarnoori,Mauro Pezze,Morteza Amini,"Manouchehr Moradi,
Raman Ramsin (maybe)","AI, DB,
Semantic Web
Computer Networks",,"MSR(Automatic Test Transfer)
Abbas Heydarnoori","1 submitted
Software Testing",,"برای پیدا کردن استاد خیلی کمک می‌کنه اگر اول از استاد خودتون بپرسید آدمایی که توی فیلدتون کار می‌کنن و معروفن رو بهتون معرفی کنه. بعد از اون می‌تونین به خود اونا یا co-author هاشون که الان استاد هستن ایمیل بزنید.
اعضای کمیته‌ی کنفرانس‌های معروف فیلد خودتون هم چک کنین.",دوبی,Feb 26,Nov 15,May 6,عابدی (۱۶۰۰),,,,,,,,,از ۲۹ ژانویه هم بدون رزرو وقت اولیه برای ارمنستان به شریف ویزا درخواست پکیج تضمینی وقت پر شده دادم و فعلا که خبری نیست. هزینش هم ۴.۵ میلیون بود.
,دانشگاه,,UCR,Purdue,MSU,UIUC,Northeastern,,,,,,,,,,,,,,,,,,,,,,,,,,ارمنستان,Jan 29,-,-,شریف ویزا (۴۵۰۰),,,,,,,,,
,Degree,,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Department,,CSE,CS,CS,,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,Software,Software,NLP,Software,Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,بدون مصاحبه,قبل از سابمیشن,قبل از سابمیشن,قبل از سابمیشن,قبل از سابمیشن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,ACC-Withdraw,WL-REJ,REJ,REJ,ACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,April14,,,15 March,"از استاد: Jan 17
از دانشگاه: Feb 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,about 28k$ per year,,,,"$41,120 stipend + $39,024 tuition waiver (eight credits per term) + $5,000 start-up fund + Health insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,قبل اپلای با هیچکس مصاحبه نکرده بودم ولی چون اساتید زیادی بودن که با فیلدم مچ بودن به صورت کلی برای آزمایشگاه RIPPLE اپلای کردم. بعد از اپلای با ۴ تا استاد در زمان‌های مختلف مصاحبه کردم که آخریش 4 APRIL بود.,قبل از اپلای با یه استاد چینی مصاحبه کرده بودم بعدا که پیگیری کردم گفت امسال اپلیکنت‌ها خیلی قوی بودن و همه مقاله داشتن و توی wait list هستی ولی اگر تا آخر مارچ آفر نگیری احتمالا آفر نمی‌گیری :) البته اینم بگم که کم لطفی کردن و ایمیل ریجکت نفرستادن خودمون باید می‌فهمیدیم که ریجکت شدیم :),قبل از اپلای با یه استاد ایرانی مصاحبه کرده بودم که بعد از اپلای خبری ازش نشد. April 3 یه نفر دیگه گفت بیا مصاحبه که دیگه من رد کردم چون آفر بهتر داشتم. این دانشگاه‌ هم برای من ایمیل ریجکت نفرستاد خودم بعد ۱۵ اپریل چون ددلاین گذشته بود فهمیدم که ریجکت شدم.,یه inetrview با دو نفر از اساتید قبل از اپلای داشتم. اوایل فوریه بهم یه تسک دادن که انجام دادنش خیلی طول می‌کشید منم قیدش رو زدم.,"Waived
یه مصاحبه‌ی اولیه داشتم که کارایی که کردم رو توضیح دادم و خود استاد یکم پروژه‌هایی که کار می‌کنه رو گفت. بعد یه سوال پرسید ازم درباره‌ی یکی از survey هایی که داده بودم که گفتم یادم نیست :) گفت اشکال نداره مرور کن دوباره دربارش صحبت می‌کنیم
توی جلسه‌ی دوم هم یه موضوع بهم داد گفت بخون دوباره جلسه بذاریم ببینیم به این موضوع به نظرت علاقه داری یا نه. چند روز بعد از مصاحبه‌ی سوم یه مصاحبه هم با یکی از دانشجوهای PhD ش برام گذاشت و چند روز بعد از اون بهم ایمیل داد که تصمیم گرفتم بهت آفر بدم.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۴۹,کلیت رزومه,,کارشناسی ۹۶,علوم کامپیوتر,,,,Logic,15.27,,,,,,,,,6.5,6,7,7,6.5,محمد اردشیر,آرش اباذری,امیر دانشگر,جواد ابراهیمی و مجتبی تفاق,"Automata*2, Linear Algebra*2, Logic*2, ToC",,اردشیر (منطق),,مدال برنز ریاضی - تدریس المپیاد و کارگاه آشنایی با علوم کامپیوتر - معدل ۳ترم آخر: ۱۷.۵,,,,,,,,,,,,,,,
,دانشگاه,,UParis,Amsterdam,Vienna,ENS Lyon,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Degree,,M.Math.,M.Sc.,M.Math.,M.Math.,M.Sc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Department,,Mathematics,Faculty of Science,,Mathematics,Faculty of Graduate Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,Logic,Logic,Mathematics-Logic,Advanced Mathematics-Logic,Mathematics-Logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,Final Decision,ACC-Withdraw,Withdraw,REJ,Withdraw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,,2 Feb,,3 Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,PGSM accepted - 14 Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,قبول شدن اسکالرشیپ PGSM تو هر پروگرمی عملاً یعنی تو اون پروگرمو اکسپت شدی.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
